Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Automating Smart Contract Generation on Blockchains Using Multi-modal Modeling,"Liu, CG; Bodorik, P; Jutla, D","The power and correctness of smart contracts have been the focus of much research. We propose a new approach for developing smart contracts that uses multi-modal modeling to represent the application logic for the trade domain. We use discrete events modeling for concurrency combined with FSM modeling to use concurrent FSMs to not only simplify the design process for the modeler, but also to scale the application running on a blockchain and facilitate identifying parts of a smart program that are suitable for off-chain processing on a sidechain that also provides privacy. In addition, we achieve separation of concerns between (a) application logic and (b) its transformation into a smart contract and deployment on a blockchain with processing of selected patterns on private sidechains. We transform the model into a smart contract automatically, such that patterns, selected by the modeler, are deployed on a sidechain. The interface for the mainchain to sidechain interaction is also prepared and deployed automatically.",2022,,JOURNAL OF ADVANCES IN INFORMATION TECHNOLOGY,13,3,213-223,WOS:000884923300002,10.12720/jait.13.3.213-223,,#177,Liu 2022,Exclusion reason: Framework Not Provided; ,""
Smart contracts vs incomplete contracts: A transaction cost economics viewpoint,"Vatiero, M","Smart contracts (i.e., agreements enforced by a blockchain) are supposed to work at lower transaction costs than traditional (and incomplete) contracts that instead exploit a costly legal enforcement. This paper challenges that claim. I argue that because of the need for adaptation to mutable and unpredictable occurrences (a chief challenge of transaction cost economics a la Oliver Williamson), smart contracts may incur higher transaction costs than traditional contracts. This paper focuses on two problems related to the adaptation: first, smart contracts are constructed to limit and potentially avoid any ex-post legal intervention, including efficiency-enhancing adaptation by courts. Second, the consensus mechanism on which every smart contract depends may lead to additional transaction costs due to a majority-driven adaptation of the blockchain that follows Mancur Olson's Logic of groups. The paper further proposes several institutional expedients that may reduce these transaction costs of smart contracts. (C) 2022 Massimiliano Vatiero. Published by Elsevier Ltd. All rights reserved.",2022,,COMPUTER LAW & SECURITY REVIEW,46,,,WOS:000834603600004,10.1016/j.clsr.2022.105710,,#215,Vatiero 2022,Exclusion reason: Framework Not Provided; ,""
Developmental trajectories of blockchain research and its major subfields,"Tseng, FM; Gil, EINP; Lu, LYY","Unlike previous reviews, most of which focus on a field and use qualitative methods to analyze blockchain technology, herein main path analysis was used to determine the key route of citations and identify the developmental trajectories of blockchain technology and its major themes. A total of 3159 blockchain-related articles published through August 5, 2019, were gathered from the Web of Science. In all, 2478 articles formed the citation network, 27 of which were on the key route. These 27 key papers on blockchain represented the four developmental stages. Stage 1 focused on challenges to bitcoin. Stage 2 focused on smart contract issues. Stage 3 focused on opportunities, challenges, and development in blockchain. Finally, Stage 4 focused on smart contract applications, especially in e-healthcare, where blockchain technology is paving the way to a quicker, more secure, and more efficient means of storing and accessing medical data. The Girvan-Newman clustering technique was used to classify articles, and keyword analysis was used to analyze the top six major themes. These were bitcoin security, bitcoin financial applications, e-healthcare, Ethereum smart contracts, security and privacy in IoT, and energy. Main path analysis was also used to analyze their developmental trends. The results have significant value for both academics and practitioners.",2021,,TECHNOLOGY IN SOCIETY,66,,,WOS:000713715100002,10.1016/j.techsoc.2021.101606,,#245,Tseng 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Application of Blockchain Technology in Value Chain of Procurement in Manufacturing Enterprises,"Wang, Y; Men, SC; Guo, TT","Blockchain technology, as a database which combines encryption algorithm, smart contract, consensus mechanism, time stamp, and other technologies, has received wide attention from all walks of life and can be used to solve such problems as asymmetric, incomplete, and untimely information in both interenterprise transactions and enterprise internal control management as a good solution owing to its characteristics of decentralization, traceability, and tamper-proofness. Consequently, it is worthy of studying how to apply blockchain technology to daily business activities of enterprises. In this paper, some problems existing in the value chain activities of the enterprise internal procurement are analyzed by designing the solutions to requisition, warehousing, and payment based on blockchain technology, in which the Hyperledger Fabric platform is selected as an implementation tool to simulate some purchasing data for testing procedures. After the successful test, the research conclusions and research prospects of this paper are thus proposed, proving the feasibility of applying the blockchain technology to the internal value chain management of the enterprise, which provides reference for the construction of the internal value chain management of the enterprise by the blockchain.",2021,,WIRELESS COMMUNICATIONS & MOBILE COMPUTING,2021,,,WOS:000775462600002,10.1155/2021/1674412,,#268,Wang 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Blockchain-Based Distributed Patient-Centric Image Management System,"Jabarulla, MY; Lee, HN","In recent years, many researchers have focused on developing a feasible solution for storing and exchanging medical images in the field of health care. Current practices are deployed on cloud-based centralized data centers, which increase maintenance costs, require massive storage space, and raise privacy concerns about sharing information over a network. Therefore, it is important to design a framework to enable sharing and storing of big medical data efficiently within a trustless environment. In the present paper, we propose a novel proof-of-concept design for a distributed patient-centric image management (PCIM) system that is aimed to ensure safety and control of patient private data without using a centralized infrastructure. In this system, we employed an emerging Ethereum blockchain and a distributed file system technology called Inter-Planetary File System (IPFS). Then, we implemented an Ethereum smart contract called the patient-centric access control protocol to enable a distributed and trustworthy access control policy. IPFS provides the means for decentralized storage of medical images with global accessibility. We describe how the PCIM system architecture facilitates the distributed and secured patient-centric data access across multiple entities such as hospitals, patients, and image requestors. Finally, we deployed a smart contract prototype on an Ethereum testnet blockchain and evaluated the proposed framework within the Windows environment. The evaluation results demonstrated that the proposed scheme is efficient and feasible.",2021,,APPLIED SCIENCES-BASEL,11,1,,WOS:000605857900001,10.3390/app11010196,,#282,Jabarulla 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
A Proof-of-Stake public blockchain based pricing scheme for peer-to-peer energy trading,"Yang, JW; Paudel, A; Gooi, HB; Nguyen, HD","Peer-to-peer (P2P) energy trading allows prosumers to trade energy directly without intermediaries. To provide a payment system and record transaction information, public blockchain is designed to match the decentralized feature of the P2P market. The incentive for nodes outside the microgrid is removed but it is maintained for the prosumers within the microgrid. Therefore the number of miner competitors is limited to decrease the mining difficulty and its power consumption. Proof-of-Stake (PoS) consensus protocol defines the function of blockchain with its mining mechanism. Miners sacrifice part of their stake to compensate for the power losses and reduce the price gap from the traditional prosumer-to-grid trading (Feed-in-tariff). Moreover, the proposed model also contributes to increase the social welfare by improving producers' income and consumers' cost-saving through the designed pricing scheme, which eliminates the price gap between buying and selling. Successful mining is encouraged by rewards accordingly. A case study is introduced where a microgrid model with 27 prosumers is tested with the PoS public blockchain-based pricing scheme. The process of model implementation and smart contract creation are specifically demonstrated. Numerical results prove the feasibility and effectiveness of the proposed method.",2021,,APPLIED ENERGY,298,,,WOS:000675857000007,10.1016/j.apenergy.2021.117154,,#296,Yang 2021,Exclusion reason: Articles that focus solely on technical aspects of conversion; ,""
A novel service level agreement model using blockchain and smart contract for cloud manufacturing in industry 4.0,"Tan, WN; Zhu, H; Tan, JJ; Zhao, Y; Xu, LD; Guo, K","The number of service offerings in cloud manufacturing continues to grow, so that service level agreement (SLA) within cloud manufacturing is increasingly used to ensure the coordination of the cross-organisational business processes between the cloud service providers (CSP) and cloud service consumers (CSC). The definition of SLA and monitoring SLA's performance are significant and should be highly valued to ensure the effectiveness and efficiency of business services. At present, the third-party monitoring methods based on service credit are mainly applied in cloud manufacturing environments. There is no effective supervision mechanism to monitor the third party and no efficient punishment mechanism on SLA violation. To address aforementioned issues, this paper proposes a novel Service Level Agreement model by integrating Blockchain and Smart Contract (SLABSC), in which trust issues among CSP, CSC, and the third-party monitoring can be addressed through Blockchain technologies. The method proposed in this paper realises the full functionality of SLABSC and facilitates data security, and it can be used to supervise CSP to provide better services. Experiments results show that the performance of the proposed model is valid and efficient.",2022,,ENTERPRISE INFORMATION SYSTEMS,16,12,,WOS:000661304800001,10.1080/17517575.2021.1939426,,#297,Tan 2022,Exclusion reason: Framework Not Provided; ,""
A Novel Block Chain Method for Urban Digitization Governance in Birth Registration Field: A Case Study,"Shi, JH; Danquah, SKN; Dong, WH","Even though digitization is widely recognized as one of the most imperative trends in achieving effective urban governance, digital infrastructure remains far from the global trend in many African countries. This paper proposes a novel, resilient data manipulation architecture model called the Birth Notification Verification Model (BNVM) using blockchain and smart contracts. The proposed solution was evaluated in a real-world use case scenario in Ghana. The model, which is based on the Ten Civil Registration and Vital Statistics (CRVS) Framework, focuses on the initial inputs for birth registration at the birth notification level. The approach presented in this study paves the way for the creation of decentralized, secure, transparent, and automated systems for civil registration. The application of a smart contract architecture that blends a centralized design with an on-chain and off-chain architecture is further supported by this, providing more evidence of its viability. It offers a safe verification framework for the Ghana Birth and Death Registry based on smart contract technology and can guarantee a birth notification as proof of birth certificate registration in accordance with international standards. The findings provide insight into the use of blockchain technology in public registry institutions. Furthermore, exploring its adoption and implementation in Sub-Saharan Africa contributes to the growing field of blockchain technology research and demonstrates how the concept will address long-standing issues with corruption and security in developing countries.",2022,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,19,15,,WOS:000840245600001,10.3390/ijerph19159309,,#306,Shi 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Using Smart Contracts to Establish Decentralized Accounting Contracts: An Example of Revenue Recognition,"Chou, CC; Hwang, NCR; Schneider, GP; Wang, TW; Li, CW; Wei, W","This study explores how to use smart contract technology to implement accounting principles for public use. To illustrate its feasibility, this study develops a design model of decentralized accounting contracts (DACs) and uses revenue recognition to demonstrate how to apply the proposed model. Considering various scenarios of revenue recognition, this study adopts Solidity to programsmart contracts for five use cases: (1) regular sale, (2) installment sale, (3) gift card sale, (4) a contracted sale with multiple performance obligations, and (5) a contracted sale with variable considerations over the contract price. The results show that smart contracts can be created to fully address complex revenue recognition scenarios according to the Generally Accepted Accounting Principles (GAAPs). In conclusion, we discuss the implications of the study for business organizations, regulatory agencies, and the accounting profession.",2021,,JOURNAL OF INFORMATION SYSTEMS,35,3,17-52,WOS:000934588000002,10.2308/ISYS-19-009,,#319,Chou 2021,Exclusion reason: Methods/inputs/outputs not provided; ,""
On the Need for Data Quality Assessment in Blockchains,"Comuzzi, M; Cappiello, C; Meroni, G","Current smart contract-enabled blockchain technology exhibits limited support for data quality assessment of transaction payloads. This is critical because blockchain aims at removing intermediaries, which often play an important role in guaranteeing a certain level of the quality of data used by a system. Moreover, owing to the immutability typical of blockchain, poor quality data are bound to remain stored in a blockchain, possibly forever. This article contextualizes the issue of data quality in blockchains, discussing how to extend or adapt blockchain technology to support data quality assessment and identifying a set of challenges for future research.",2021,,IEEE INTERNET COMPUTING,25,3,71-78,WOS:000678087600021,10.1109/MIC.2020.3030978,,#341,Comuzzi 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
ST-BFL: A Structured Transparency Empowered Cross-Silo Federated Learning on the Blockchain Framework,"Majeed, U; Khan, LU; Yousafzai, A; Han, Z; Park, BJ; Hong, CS","Federated Learning (FL) relies on on-device training to avoid the migration of devices' data to a centralized server to address privacy leakage. Moreover, FL is feasible for scenarios (e.g., autonomous cars) where an enormous amount of data is generated every day. Transferring only local model updates in the case of FL is highly communication-efficient compared to transferring all data in the case of centralized machine learning (ML). Although FL offers many advantages, it also has some challenges. A malicious aggregation server can infer device information via local model updates. Another downside of FL is the centralized aggregation server that can malfunction due to an attack or physical damage. To address these issues, we propose a novel Structured Transparency empowered cross-silo Federated Learning on the Blockchain (ST-BFL) framework. In ST-BFL, homomorphic encryption, FL-aggregators, FL-verifiers, and smart contract are employed, which satisfy various structured transparency components, such as input privacy, output privacy, output verification, and flow governance. We present the framework architecture, algorithms, and sequence diagram of our ST-BFL framework to show how different entities interact in ST-BFL for the FL process. We also present a simplified class diagram of ST-BFL's smart contract for an FL task. Finally, we perform a simulation to analyze our framework from the perspective of aggregation time, accuracy, and storage size. The qualitative and quantitative evaluation shows that ST-BFL has the same accuracy as traditional FL. However, ST-BFL provides input privacy, output privacy, input verification, output verification, and flow governance at the expense of relatively higher computation and communication costs than traditional FL.",2021,,IEEE ACCESS,9,,155634-155650,WOS:000722714500001,10.1109/ACCESS.2021.3128622,,#353,Majeed 2021,Exclusion reason: Articles that focus solely on technical aspects of conversion; ,""
An Ethereum-based wind power energy network contract management solution,"Zhang, LH; Bai, JY","Because the existing wind turbine safety is limited by the traditional centralised management, it faces many security risks. Therefore, the future wind turbine management and control scheme is developing towards distributed security and high performance. Relying on Ethereum block technology to build smart contracts can help solve the security protection problems of network authority control and management in wind power energy systems. First, based on the analysis of wind power network security management needs, establish a mathematical model of security indicators for the control centre and subordinate nodes, respectively, when the permissions are out of control; second, based on the Ethereum smart contract release platform, according to the mathematical model of security indicators run wind power contract management (WPCM), predict the results of out-of-control simulation, and compare with the communication parameters of a typical wind farm in Northwest Europe. Studies have shown that the established wind power energy network security management plan has the characteristics of high security and good robustness, and the system processing speed is fast, which meets the offshore wind farm communication standard.",2022,,INTERNATIONAL JOURNAL OF COMMUNICATION NETWORKS AND DISTRIBUTED SYSTEMS,28,1,43-60,WOS:000743146100003,,,#398,Zhang 2022,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
Legally Enforceable Smart-Contract Languages: A Systematic Literature Review,"Dwivedi, V; Pattanaik, V; Deval, V; Dixit, A; Norta, A; Draheim, D","Smart contracts are a key component of today's blockchains. They are critical in controlling decentralized autonomous organizations (DAO). However, smart contracts are not yet legally binding nor enforceable; this makes it difficult for businesses to adopt the DAO paradigm. Therefore, this study reviews existing Smart Contract Languages (SCL) and identifies properties that are critical to any future SCL for drafting legally binding contracts. This is achieved by conducting a Systematic Literature Review (SLR) of white- and grey literature published between 2015 and 2019. Using the SLR methodology, 45 Selected and 28 Supporting Studies detailing 45 state-of-the-art SCLs are selected. Finally, 10 SCL properties that enable legally compliant DAOs are discovered, and specifications for developing SCLs are explored.",2021,,ACM COMPUTING SURVEYS,54,5,,WOS:000671787900019,10.1145/3453475,,#405,Dwivedi 2021,Exclusion reason: Framework Not Provided; ,""
A Novel Blockchain-Based Integrity and Reliable Veterinary Clinic Information Management System Using Predictive Analytics for Provisioning of Quality Health Services,"Iqbal, N; Jamil, F; Ahmad, S; Kim, D","The recent advances in information management systems coupled with machine learning algorithms paved the way for a significant revolution in animal healthcare industries. However, the data in such systems suffer from various challenges such as security, reliability, and convenience, to name a few. Traditional systems are not useful to meet these critical issues because these systems have not a consistent structure for data security and reliability policies. Therefore, a new solution is required to enhance data accessibility and should regulate government security policies to ensure the accountability of the usage of the medical records system. Moreover, it is also required to analyze historical data of veterinary clinic using data mining and machine learning techniques to predict the future appointments scheduling requests, which is essential for veterinary management to drive better future decisions, for instance, future demands of medical supplies and to plan veterinary medical staff, etc. This paper aims to fill the gap by proposing a novel blockchain-based reliable and intelligent veterinary information management system (RIVIMS) using smart contract and machine learning techniques. The proposed RIVIMS consists of two main modules; blockchain-based secured veterinary information management, data and predictive analytics modules. First, a blockchain-based secure and reliable veterinary clinic information management system is developed using Hyperledger Fabric. Second, a smart contract enabled data, and predictive analytics modules are developed using permissioned blockchain framework. The data and predictive modules aim to analyze veterinary clinic patients appointments data in order to discover underlying patterns and build a robust prediction model using machine learning algorithms. The data and predictive helps veterinary management to drive better future business decisions to provide better healthcare services to veterinary patients. Hyperledger Caliper is used as a benchmark tool to evaluate the performance of the developed blockchain-based system in terms of transaction per second, transaction success rate, transaction throughput, and transaction latency. Furthermore, machine learning performance measures have utilized, such as MAE, RMSE, and R2 score to evaluate the overall performance of the prediction model. The experimental results demonstrate the effectiveness and robustness of the proposed RIVIMS.",2021,,IEEE ACCESS,9,,8069-8098,WOS:000608568100001,10.1109/ACCESS.2021.3049325,,#415,Iqbal 2021,Exclusion reason: Research that is not related to contract or document conversion to smart contracts; ,""
